OBJECTID,CDSCode,Status,Charter,Ed_Type,Level,Pb_Prv_BIE,School,District,County,Street,City,State,Zip,Lat,Long,Stacked,Stack_cnt,Source,CDS_uniq,GradesOffered,GradesServed
1280,1.96429E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Olive Middle,Baldwin Park Unified,Los Angeles,13701 Olive Street,Baldwin Park,CA,91706-2398,34.100614,-117.975432,No,1,Los Angeles CO Land Type 2011,1.96429E+13,8-Jun,8-Jun
1281,1.96429E+13,Active,No,Traditional,Elementary,Public,Foster Elementary,Baldwin Park Unified,Los Angeles,13900 Foster Avenue,Baldwin Park,CA,91706-4926,34.070984,-117.971804,No,1,Los Angeles CO Land Type 2011,1.96429E+13,K-6,K-6
1282,1.96429E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Charles D. Jones Junior High,Baldwin Park Unified,Los Angeles,14250 East Merced Avenue,Baldwin Park,CA,91706-5205,34.075314,-117.967509,No,1,Los Angeles CO Land Type 2011,1.96429E+13,8-Jul,8-Jul
1283,1.96429E+13,Active,No,Traditional,Elementary,Public,Ernest R. Geddes Elementary,Baldwin Park Unified,Los Angeles,14600 Cavette Place,Baldwin Park,CA,91706-2799,34.096484,-117.956547,Yes,2,Los Angeles CO Land Type 2011,1.96429E+13,K-5,K-5
1284,1.96429E+13,Active,No,Traditional,Elementary,Public,Central Elementary,Baldwin Park Unified,Los Angeles,14741 Central Avenue,Baldwin Park,CA,91706-5617,34.083929,-117.951624,No,1,Los Angeles CO Land Type 2011,1.96429E+13,K-6,K-6
1285,1.96429E+13,Active,No,Traditional,Elementary,Public,Pleasant View Elementary,Baldwin Park Unified,Los Angeles,14900 East Nubia Street,Baldwin Park,CA,91706-1999,34.102333,-117.952915,No,1,Los Angeles CO Land Type 2011,1.96429E+13,K-6,K-6
1286,1.96429E+13,Active,No,Traditional,Elementary,Public,Vineland Elementary,Baldwin Park Unified,Los Angeles,3609 Vineland Avenue,Baldwin Park,CA,91706-5398,34.080354,-117.961807,No,1,Los Angeles CO Land Type 2011,1.96429E+13,K-6,K-6
1287,1.96429E+13,Active,No,Traditional,High School,Public,Baldwin Park High,Baldwin Park Unified,Los Angeles,3900 North Puente Avenue,Baldwin Park,CA,91706-4428,34.085082,-117.945674,No,1,Los Angeles CO Land Type 2011,1.96429E+13,12-Sep,12-Sep
1288,1.96429E+13,Active,No,Traditional,Elementary,Public,Charles Bursch Elementary,Baldwin Park Unified,Los Angeles,4245 North Merced Avenue,Baldwin Park,CA,91706-2960,34.089396,-117.974654,No,1,Los Angeles CO Land Type 2011,1.96429E+13,K-6,K-6
1289,1.96429E+13,Active,No,Continuation School,High School,Public,North Park Continuation High,Baldwin Park Unified,Los Angeles,4600 Bogart Avenue,Baldwin Park,CA,91706-2703,34.096484,-117.956547,Yes,2,Los Angeles CO Land Type 2011,1.96429E+13,12-Sep,12-Sep
1290,1.96429E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Santa Fe Fundamental,Baldwin Park Unified,Los Angeles,4650 Baldwin Park Boulevard,Baldwin Park,CA,91706-2506,34.097627,-117.964042,Yes,2,Los Angeles CO Land Type 2011,1.96429E+13,8-Mar,8-Mar
1291,1.96429E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Jerry D. Holland Middle,Baldwin Park Unified,Los Angeles,4733 Landis Avenue,Baldwin Park,CA,91706-2565,34.097627,-117.964042,Yes,2,Los Angeles CO Land Type 2011,1.96429E+13,8-Jun,8-Jun
1292,1.96429E+13,Active,No,Traditional,Elementary,Public,Walnut Elementary,Baldwin Park Unified,Los Angeles,4701 North Walnut Street,Baldwin Park,CA,91706-2328,34.097987,-117.976906,No,1,Los Angeles CO Land Type 2011,1.96429E+13,K-5,K-5
1293,1.9643E+13,Active,No,Traditional,Elementary,Public,J. E. Van Wig Elementary,Bassett Unified,Los Angeles,1151 North Van Wig Avenue,La Puente,CA,91746-1328,34.060855,-117.976057,No,1,Los Angeles CO Land Type 2011,1.9643E+13,K-5,K-5
1294,1.9643E+13,Active,No,Traditional,Elementary,Public,Don Julian Elementary,Bassett Unified,Los Angeles,13855 Don Julian Road,La Puente,CA,91746-2518,34.038274,-117.992063,No,1,Los Angeles CO Land Type 2011,1.9643E+13,K-6,K-6
1295,1.9643E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Edgewood Academy,Bassett Unified,Los Angeles,14135 East Fairgrove Avenue,La Puente,CA,91746-1708,34.056148,-117.966284,No,1,Los Angeles CO Parcels 2009,1.9643E+13,K-8,K-8
1296,1.9643E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Torch Middle,Bassett Unified,Los Angeles,751 North Vineland Avenue,City Of Industry,CA,91746-1914,34.057215,-117.985475,No,1,Los Angeles CO Land Type 2011,1.9643E+13,8-Jun,8-Jun
1297,1.9643E+13,Active,No,Traditional,High School,Public,Bassett Senior High,Bassett Unified,Los Angeles,755 Ardilla Avenue,La Puente,CA,91746-2163,34.051409,-117.978656,No,1,Los Angeles CO Land Type 2011,1.9643E+13,12-Sep,12-Sep
1298,1.9643E+13,Active,No,Continuation School,High School,Public,Nueva Vista Continuation High,Bassett Unified,Los Angeles,904 Willow Avenue,La Puente,CA,91746-1696,34.053334,-117.970811,No,1,Los Angeles CO Land Type 2011,1.9643E+13,12-Oct,12-Nov
1299,1.9643E+13,Active,No,Traditional,Elementary,Public,Sunkist Elementary,Bassett Unified,Los Angeles,935 Mayland Avenue,La Puente,CA,91746-1625,34.055992,-117.974699,No,1,Los Angeles CO Land Type 2011,1.9643E+13,K-5,K-5
1300,1.9643E+13,Active,No,Traditional,Elementary,Public,Thomas Jefferson Elementary,Bellflower Unified,Los Angeles,10027 East Rose Street,Bellflower,CA,90706-6916,33.870441,-118.120104,No,1,Los Angeles CO Land Type 2011,1.9643E+13,P-6,K-6
1301,1.9643E+13,Active,No,Traditional,Elementary,Public,Ernie Pyle Elementary,Bellflower Unified,Los Angeles,14500 South Woodruff Avenue,Bellflower,CA,90706-3237,33.89994,-118.114651,No,1,Los Angeles CO Land Type 2011,1.9643E+13,P-6,K-6
1302,1.9643E+13,Active,No,Traditional,Elementary,Public,Frank E. Woodruff Elementary,Bellflower Unified,Los Angeles,15332 South Eucalyptus Street,Bellflower,CA,90706-3706,33.893786,-118.121118,No,1,Los Angeles CO Land Type 2011,1.9643E+13,P-6,K-6
1303,1.9643E+13,Active,No,Traditional,Elementary,Public,Intensive Learning Center,Bellflower Unified,Los Angeles,4718 East Michelson Street,Lakewood,CA,90712-1851,33.856467,-118.13666,No,1,Los Angeles CO Parcels 2009,1.9643E+13,P-6,K-6
1304,1.9643E+13,Active,No,Traditional,Elementary,Public,Stephen Foster Elementary,Bellflower Unified,Los Angeles,5223 East Bigelow Street,Lakewood,CA,90712-2023,33.858796,-118.130757,No,1,Los Angeles CO Land Type 2011,1.9643E+13,P-6,K-6
1305,1.9643E+13,Active,No,Traditional,Elementary,Public,Esther Lindstrom Elementary,Bellflower Unified,Los Angeles,5900 North Canehill Street,Lakewood,CA,90713-1251,33.861882,-118.109755,No,1,Los Angeles CO Land Type 2011,1.9643E+13,P-6,K-6
1306,1.9643E+13,Active,No,Traditional,Elementary,Public,Craig Williams Elementary,Bellflower Unified,Los Angeles,6144 North Clark Avenue,Lakewood,CA,90712-1211,33.866016,-118.132999,No,1,Los Angeles CO Land Type 2011,1.9643E+13,P-6,K-6
1307,1.9643E+13,Active,No,Continuation School,High School,Public,Somerset Continuation High,Bellflower Unified,Los Angeles,9242 East Laurel Street,Bellflower,CA,90706-7607,33.882495,-118.137157,No,1,Los Angeles CO Parcels 2009,1.9643E+13,12-Jul,12-Oct
1308,1.9643E+13,Active,No,Traditional,Elementary,Public,Ramona Elementary,Bellflower Unified,Los Angeles,9351 East Laurel Street,Bellflower,CA,90706-5615,33.883615,-118.135086,No,1,Los Angeles CO Land Type 2011,1.9643E+13,P-6,K-6
1309,1.9643E+13,Active,No,Traditional,Elementary,Public,Washington Elementary,Bellflower Unified,Los Angeles,9725 East Jefferson Street,Bellflower,CA,90706-3615,33.894662,-118.127049,No,1,Los Angeles CO Land Type 2011,1.9643E+13,P-6,K-6
1310,1.96431E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Beverly Vista Middle,Beverly Hills Unified,Los Angeles,200 South Elm Drive,Beverly Hills,CA,90212-4011,34.063598,-118.394365,No,1,Los Angeles CO Land Type 2011,1.96431E+13,8-Jun,8-Jun
1311,1.96431E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,El Rodeo Elementary,Beverly Hills Unified,Los Angeles,605 North Whittier Drive,Beverly Hills,CA,90210-3112,34.067935,-118.415997,No,1,Los Angeles CO Land Type 2011,1.96431E+13,K-5,K-8
1312,1.96431E+13,Active,No,Traditional,Elementary,Public,Hawthorne Elementary,Beverly Hills Unified,Los Angeles,624 North Rexford Drive,Beverly Hills,CA,90210-3312,34.079105,-118.404083,No,1,Los Angeles CO Land Type 2011,1.96431E+13,K-5,K-5
1313,1.96431E+13,Active,No,Traditional,Elementary,Public,Horace Mann Elementary,Beverly Hills Unified,Los Angeles,8701 Charleville Boulevard,Beverly Hills,CA,90211-2805,34.065502,-118.38258,No,1,Los Angeles CO Land Type 2011,1.96431E+13,K-5,K-5
1314,1.96433E+13,Active,No,Traditional,Elementary,Public,Gladstone Elementary,Bonita Unified,Los Angeles,1314 West Gladstone,San Dimas,CA,91773-1437,34.112959,-117.834319,No,1,Los Angeles CO Land Type 2011,1.96433E+13,K-5,K-5
1315,1.96433E+13,Active,No,Traditional,Elementary,Public,La Verne Heights Elementary,Bonita Unified,Los Angeles,1550 Baseline Road,La Verne,CA,91773-1437,34.120794,-117.7745,No,1,Los Angeles CO Land Type 2011,1.96433E+13,K-5,K-5
1316,1.96433E+13,Active,No,Traditional,Elementary,Public,Grace Miller Elementary,Bonita Unified,Los Angeles,1629 Holly Oak Street,La Verne,CA,91773-1437,34.109763,-117.775452,No,1,Los Angeles CO Land Type 2011,1.96433E+13,K-5,K-5
1317,1.96433E+13,Active,No,Traditional,Elementary,Public,J. Marion Roynon Elementary,Bonita Unified,Los Angeles,2715 E Street,La Verne,CA,91750-1437,34.104085,-117.767825,No,1,Los Angeles CO Land Type 2011,1.96433E+13,K-5,K-5
1318,1.96434E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,John Muir Middle,Burbank Unified,Los Angeles,1111 North Kenneth Road,Burbank,CA,91504-4011,34.194554,-118.312611,No,1,Los Angeles CO Land Type 2011,1.96434E+13,8-Jun,8-Jun
1319,1.96433E+13,Active,No,Traditional,Elementary,Public,Arma J. Shull Elementary,Bonita Unified,Los Angeles,825 North Amelia,San Dimas,CA,91773-1437,34.116596,-117.821336,No,1,Los Angeles CO Land Type 2011,1.96433E+13,K-5,K-5
1320,1.96434E+13,Active,No,Traditional,Elementary,Public,Walt Disney Elementary,Burbank Unified,Los Angeles,1220 West Orange Grove Avenue,Burbank,CA,91506-2016,34.173321,-118.320243,No,1,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1321,1.96434E+13,Active,No,Traditional,Elementary,Public,Thomas Jefferson Elementary,Burbank Unified,Los Angeles,1900 North Sixth Street,Burbank,CA,91504-2932,34.198891,-118.320718,No,1,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1322,1.96434E+13,Active,No,Continuation School,High School,Public,Monterey High (Continuation),Burbank Unified,Los Angeles,1915 Monterey Avenue,Burbank,CA,91506-1107,34.187013,-118.332015,No,1,Los Angeles CO Parcels 2009,1.96434E+13,12-Sep,12-Nov
1323,1.96434E+13,Active,No,Traditional,Elementary,Public,Providencia Elementary,Burbank Unified,Los Angeles,1919 North Ontario Street,Burbank,CA,91505-1231,34.189046,-118.345784,No,1,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1324,1.96434E+13,Active,No,Traditional,High School,Public,Burroughs High,Burbank Unified,Los Angeles,1920 Clark Avenue,Burbank,CA,91506-1918,34.168532,-118.327114,No,1,Los Angeles CO Land Type 2011,1.96434E+13,12-Sep,12-Sep
1325,1.96434E+13,Active,No,Traditional,Elementary,Public,Thomas Edison Elementary,Burbank Unified,Los Angeles,2110 West Chestnut Street,Burbank,CA,91506-1520,34.177484,-118.333577,No,1,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1326,1.96434E+13,Active,No,Community Day School,High School,Public,Burbank USD Community Day,Burbank Unified,Los Angeles,223 East Santa Anita Avenue,Burbank,CA,91502-1447,34.178439,-118.304799,No,1,Los Angeles CO Parcels 2009,1.96434E+13,12-Jul,12-Sep
1327,1.96434E+13,Active,No,Traditional,Elementary,Public,George Washington Elementary,Burbank Unified,Los Angeles,2322 North Lincoln Street,Burbank,CA,91504-2625,34.198091,-118.334752,No,1,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1328,1.96434E+13,Active,No,Traditional,Elementary,Public,Bret Harte Elementary,Burbank Unified,Los Angeles,3200 West Jeffries Avenue,Burbank,CA,91505-1945,34.18027,-118.345915,No,1,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1329,1.96434E+13,Active,No,Traditional,Elementary,Public,R. L. Stevenson Elementary,Burbank Unified,Los Angeles,3333 Oak Street,Burbank,CA,91505-3514,34.159334,-118.33948,No,1,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1330,1.96434E+13,Active,No,Traditional,Elementary,Public,Horace Mann,Burbank Unified,Los Angeles,3401 Scott Road,Burbank,CA,91504-1736,34.210768,-118.334443,No,1,Los Angeles CO Parcels 2009,1.96434E+13,P,K
1331,1.96434E+13,Active,No,Traditional,Elementary,Public,William McKinley Elementary,Burbank Unified,Los Angeles,349 West Valencia Avenue,Burbank,CA,91506-3309,34.16662,-118.310675,No,1,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1332,1.96434E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Luther Burbank Middle,Burbank Unified,Los Angeles,3700 West Jeffries Avenue,Burbank,CA,91505-1849,34.179565,-118.352079,Yes,2,Los Angeles CO Land Type 2011,1.96434E+13,8-Jun,8-Jun
1333,1.96434E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,David Starr Jordan Middle,Burbank Unified,Los Angeles,420 South Mariposa Street,Burbank,CA,91506-2812,34.165227,-118.315753,No,1,Los Angeles CO Land Type 2011,1.96434E+13,8-Jun,8-Jun
1334,1.96434E+13,Active,No,Traditional,Elementary,Public,Ralph Emerson Elementary,Burbank Unified,Los Angeles,720 East Cypress Avenue,Burbank,CA,91501-1812,34.190322,-118.306548,No,1,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1335,1.96434E+13,Active,No,Traditional,Elementary,Public,Joaquin Miller Elementary,Burbank Unified,Los Angeles,720 East Providencia Avenue,Burbank,CA,91501-2409,34.18309,-118.296776,No,1,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1336,1.96434E+13,Active,No,Special Education School,High School,Public,Magnolia Park,Burbank Unified,Los Angeles,1915 Monterey Avenue,Burbank,CA,91506-1107,34.166084,-118.344351,Yes,2,Los Angeles CO Land Type 2011,1.96434E+13,12-Jun,12-Sep
1337,1.96434E+13,Active,No,Traditional,Elementary,Public,Theodore Roosevelt Elementary,Burbank Unified,Los Angeles,850 North Cordova Street,Burbank,CA,91505-2923,34.166084,-118.344351,Yes,2,Los Angeles CO Land Type 2011,1.96434E+13,K-5,K-5
1338,1.96435E+13,Active,No,Traditional,Elementary,Public,Live Oak Elementary,Castaic Union,Los Angeles,27715 Saddleridge Road,Castaic,CA,91384-3528,34.450842,-118.620008,No,1,Los Angeles CO Land Type 2011,1.96435E+13,K-6,K-6
1339,1.96435E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Castaic Middle,Castaic Union,Los Angeles,28900 Hillcrest Parkway,Castaic,CA,91384-3759,34.470857,-118.639353,No,1,Los Angeles CO Land Type 2011,1.96435E+13,8-Jul,8-Jul
1340,1.96435E+13,Active,No,Traditional,Elementary,Public,Castaic Elementary,Castaic Union,Los Angeles,30455 Park Vista Drive,Castaic,CA,91384-3728,34.471627,-118.631455,No,1,Los Angeles CO Land Type 2011,1.96435E+13,K-6,K-6
1341,1.96435E+13,Active,No,Traditional,Elementary,Public,Northlake Hills Elementary,Castaic Union,Los Angeles,32545 Ridge Route Road,Castaic,CA,91384-4133,34.510735,-118.627793,No,1,Los Angeles CO Parcels 2009,1.96435E+13,K-7,K-6
1342,1.96435E+13,Active,No,Traditional,High School,Public,Lawndale High,Centinela Valley Union High,Los Angeles,14901 South Inglewood Avenue,Lawndale,CA,90260-1251,33.89604,-118.364618,Yes,3,Los Angeles CO Parcels 2009,1.96435E+13,12-Sep,12-Sep
1343,1.96435E+13,Active,No,Traditional,High School,Public,Leuzinger High,Centinela Valley Union High,Los Angeles,4118 West Rosecrans Avenue,Lawndale,CA,90260-1601,33.900578,-118.347612,No,1,Los Angeles CO Land Type 2011,1.96435E+13,12-Sep,12-Sep
1344,1.96435E+13,Active,No,Traditional,High School,Public,Hawthorne High,Centinela Valley Union High,Los Angeles,4859 West El Segundo Boulevard,Hawthorne,CA,90250-4204,33.917605,-118.363238,No,1,Los Angeles CO Land Type 2011,1.96435E+13,12-Sep,12-Sep
1345,1.96435E+13,Active,No,Continuation School,High School,Public,R. K. Lloyde High,Centinela Valley Union High,Los Angeles,4951 Marine Avenue,Lawndale,CA,90260-1251,33.89604,-118.364618,Yes,3,Los Angeles CO Parcels 2009,1.96435E+13,12-Sep,12-Oct
1346,1.96435E+13,Active,Yes,Traditional,High School,Public,Family First Charter,Centinela Valley Union High,Los Angeles,12500 Ramona Avenue,Hawthorne,CA,90250-4330,33.89604,-118.364618,Yes,3,Los Angeles CO Parcels 2009,1.96435E+13,12-Sep,12-Sep
1347,1.96438E+13,Active,No,Traditional,Elementary,Public,Glen Oak Elementary,Charter Oak Unified,Los Angeles,1000 North Sunflower Avenue,Covina,CA,91724-2307,34.096775,-117.845247,No,1,Los Angeles CO Land Type 2011,1.96438E+13,K-6,K-6
1348,1.96438E+13,Active,No,Traditional,Elementary,Public,Willow Elementary,Charter Oak Unified,Los Angeles,1427 South Willow,Glendora,CA,91740-5826,34.112997,-117.840958,No,1,Los Angeles CO Land Type 2011,1.96438E+13,K-6,K-6
1349,1.96438E+13,Active,No,Community Day School,High School,Public,Bridges Community Day,Charter Oak Unified,Los Angeles,1505 South Sunflower Avenue,Glendora,CA,91740-5839,34.112286,-117.847523,Yes,2,Los Angeles CO Parcels 2009,1.96438E+13,12-Jul,12-Oct
1350,1.96438E+13,Active,No,Continuation School,High School,Public,Arrow High (Continuation),Charter Oak Unified,Los Angeles,1505 South Sunflower Avenue,Glendora,CA,91740-5839,34.112286,-117.847523,Yes,2,Los Angeles CO Parcels 2009,1.96438E+13,12-Sep,12-Sep
1351,1.96438E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Royal Oak Middle,Charter Oak Unified,Los Angeles,303 South Glendora Avenue,Covina,CA,91724-3235,34.084972,-117.867069,No,1,Los Angeles CO Land Type 2011,1.96438E+13,8-Jul,8-Jul
1352,1.96439E+13,Active,No,Traditional,Elementary,Public,Oakmont Elementary,Claremont Unified,Los Angeles,120 West Green Street,Claremont,CA,91711-4912,34.091329,-117.715786,No,1,Los Angeles CO Land Type 2011,1.96439E+13,K-6,K-6
1353,1.96439E+13,Active,No,Community Day School,Intermediate/Middle/Junior High,Public,Community Day,Claremont Unified,Los Angeles,125 West San Jose Avenue,Claremont,CA,91711-5205,34.083845,-117.715599,Yes,2,Los Angeles CO Parcels 2009,1.96439E+13,12-Jul,9-Aug
1354,1.96439E+13,Active,No,Continuation School,High School,Public,San Antonio High (Continuation),Claremont Unified,Los Angeles,125 West San Jose Avenue,Claremont,CA,91711-5205,34.083845,-117.715599,Yes,2,Los Angeles CO Parcels 2009,1.96439E+13,12-Sep,12-Oct
1355,1.96439E+13,Active,No,Traditional,High School,Public,Claremont High,Claremont Unified,Los Angeles,1601 North Indian Hill Boulevard,Claremont,CA,91711-2643,34.112505,-117.722457,No,1,Los Angeles CO Land Type 2011,1.96439E+13,12-Sep,12-Sep
1356,1.96439E+13,Active,No,Special Education School,Elementary,Public,Danbury Special Education,Claremont Unified,Los Angeles,1745 Lynoak Drive,Claremont,CA,91711-2421,34.11665,-117.740878,Yes,2,Los Angeles CO Land Type 2011,1.96439E+13,K-8,K-6
1357,1.96439E+13,Active,No,Traditional,Elementary,Public,Sumner Elementary,Claremont Unified,Los Angeles,1770 Sumner Avenue,Claremont,CA,91711-3031,34.11665,-117.740878,Yes,2,Los Angeles CO Land Type 2011,1.96439E+13,K-6,K-6
1358,1.96439E+13,Active,No,Traditional,Elementary,Public,Condit Elementary,Claremont Unified,Los Angeles,1750 North Mountain Avenue,Claremont,CA,91711-2643,34.115287,-117.727841,No,1,Los Angeles CO Land Type 2011,1.96439E+13,K-6,K-6
1359,1.96439E+13,Active,No,Traditional,Elementary,Public,Sycamore Elementary,Claremont Unified,Los Angeles,225 West Eighth Street,Claremont,CA,91711-4317,34.10234,-117.717628,No,1,Los Angeles CO Land Type 2011,1.96439E+13,K-6,K-6
1360,1.96439E+13,Active,No,Traditional,Elementary,Public,Chaparral Elementary,Claremont Unified,Los Angeles,451 Chaparral Drive,Claremont,CA,91711-2643,34.117043,-117.708318,No,1,Los Angeles CO Land Type 2011,1.96439E+13,K-6,K-6
1361,1.96439E+13,Active,No,Traditional,Elementary,Public,Vista del Valle Elementary,Claremont Unified,Los Angeles,550 Vista Drive,Claremont,CA,91711-5120,34.085829,-117.722287,No,1,Los Angeles CO Land Type 2011,1.96439E+13,K-6,K-6
1362,1.96439E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,El Roble Intermediate,Claremont Unified,Los Angeles,665 North Mountain Avenue,Claremont,CA,91711-4253,34.100279,-117.730695,No,1,Los Angeles CO Land Type 2011,1.96439E+13,8-Jul,8-Jul
1363,1.96439E+13,Active,No,Traditional,Elementary,Public,Mountain View Elementary,Claremont Unified,Los Angeles,851 Santa Clara Avenue,Claremont,CA,91711-3609,34.106149,-117.730756,No,1,Los Angeles CO Land Type 2011,1.96439E+13,K-6,K-6
1364,1.97344E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Emerson Elementary,Compton Unified,Los Angeles,1011 East Caldwell Street,Compton,CA,90221-4340,33.885507,-118.211262,No,1,Los Angeles CO Land Type 2011,1.97344E+13,P-8,K-8
1365,1.97344E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Roosevelt Middle,Compton Unified,Los Angeles,1200 East Alondra Boulevard,Compton,CA,90221-4306,33.88751,-118.21072,No,1,Los Angeles CO Land Type 2011,1.97344E+13,8-Jun,8
1366,1.97344E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Bunche Middle,Compton Unified,Los Angeles,12338 Mona Boulevard,Compton,CA,90220-1320,33.921486,-118.226886,No,1,Los Angeles CO Land Type 2011,1.97344E+13,8-Jun,8-Jun
1367,1.97344E+13,Active,No,Traditional,High School,Public,Thurgood Marshall,Compton Unified,Los Angeles,15301 San Jose Avenue,Compton,CA,90221-3131,33.918971,-118.240547,Yes,2,Los Angeles CO Parcels 2009,1.97344E+13,K-12,12-Sep
1368,1.97344E+13,Active,No,Continuation School,High School,Public,Cesar Chavez Continuation High,Compton Unified,Los Angeles,12501 North Wilmington,Compton,CA,90222,33.918971,-118.240547,Yes,2,Los Angeles CO Parcels 2009,1.97344E+13,12-Sep,12-Nov
1369,1.97344E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Rosecrans Elementary,Compton Unified,Los Angeles,1301 North Acacia Avenue,Compton,CA,90227-4001,33.904335,-118.228985,No,1,Los Angeles CO Land Type 2011,1.97344E+13,P-8,K-8
1370,1.97344E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Laurel Street Elementary,Compton Unified,Los Angeles,1321 West Laurel Street,Compton,CA,90220-2801,33.893423,-118.244607,No,1,Los Angeles CO Land Type 2011,1.97344E+13,P-8,K-8
1371,1.97344E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Tibby Elementary,Compton Unified,Los Angeles,1400 West Poplar Street,Compton,CA,90220-1537,33.898959,-118.247782,No,1,Los Angeles CO Land Type 2011,1.97344E+13,K-8,K-8
1372,1.97344E+13,Active,No,Traditional,Elementary,Public,Washington Elementary,Compton Unified,Los Angeles,1421 North Wilmington Avenue,Compton,CA,90222-3406,33.905376,-118.241012,No,1,Los Angeles CO Land Type 2011,1.97344E+13,P-8,K-6
1373,1.97344E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Carver Elementary,Compton Unified,Los Angeles,1425 East 120th Street,Los Angeles,CA,90059-2418,33.924433,-118.25049,No,1,Los Angeles CO Land Type 2011,1.97344E+13,P-8,K-8
1374,1.97344E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Whaley Middle,Compton Unified,Los Angeles,14401 South Gibson Avenue,Compton,CA,90221-2514,33.901989,-118.190676,No,1,Los Angeles CO Land Type 2011,1.97344E+13,8-Jun,8-Jun
1375,1.97344E+13,Active,No,Traditional,Elementary,Public,Ronald E. McNair Elementary,Compton Unified,Los Angeles,1450 West El Segundo Avenue,Compton,CA,90222-1145,33.9154,-118.247804,No,1,Los Angeles CO Land Type 2011,1.97344E+13,P-6,K-6
1376,1.97344E+13,Active,No,Traditional,High School,Public,Dominguez High,Compton Unified,Los Angeles,15301 South San Jose Avenue,Compton,CA,90221-3131,33.891886,-118.18285,No,1,Los Angeles CO Land Type 2011,1.97344E+13,12-Sep,12-Sep
1377,1.97344E+13,Active,No,Traditional,Elementary,Public,Foster Elementary,Compton Unified,Los Angeles,1620 North Pannes Street,Compton,CA,90221-1734,33.906435,-118.201837,No,1,Los Angeles CO Land Type 2011,1.97344E+13,P-5,K-5
1378,1.97344E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Ralph Bunche Elementary,Compton Unified,Los Angeles,16223 South Haskins Lane,Carson,CA,90746-1021,33.884343,-118.262212,No,1,Los Angeles CO Land Type 2011,1.97344E+13,P-8,K-8
1379,1.96514E+13,Active,No,Traditional,High School,Public,Canyon High,William S. Hart Union High,Los Angeles,19300 West Nadal Street,Canyon Country,CA,91351-1253,34.428348,-118.472646,No,1,Los Angeles CO Parcels 2009,1.96514E+13,12-Sep,12-Sep
1380,1.96513E+13,Active,No,Traditional,High School,Public,Pioneer High,Whittier Union High,Los Angeles,10800 Ben Avon,Whittier,CA,90606-3010,33.9695,-118.079633,Yes,2,Los Angeles CO Land Type 2011,1.96513E+13,12-Sep,12-Sep
1381,1.96513E+13,Active,No,Traditional,High School,Public,Whittier High,Whittier Union High,Los Angeles,12417 East Philadelphia Street,Whittier,CA,90601-3933,33.981115,-118.044741,No,1,Los Angeles CO Parcels 2009,1.96513E+13,12-Sep,12-Sep
1382,1.96513E+13,Active,No,Alternative School of Choice,High School,Public,Sierra Vista High (Alternative),Whittier Union High,Los Angeles,9401 South Painter Avenue,Whittier,CA,90605-2729,33.953265,-118.046241,Yes,2,Los Angeles CO Parcels 2009,1.96513E+13,12-Sep,12-Sep
1383,1.96513E+13,Active,No,Continuation School,High School,Public,Frontier High (Continuation),Whittier Union High,Los Angeles,9401 South Painter Avenue,Whittier,CA,90605-2729,33.953265,-118.046241,Yes,2,Los Angeles CO Parcels 2009,1.96513E+13,12-Sep,12-Oct
